Time;Command;AffectedRows;ElapsedTime
2018.03.06_00:11:44;DML_INSERT;100;16
2018.03.06_00:11:46;DML_INSERT;100;15
2018.03.06_00:11:47;DML_INSERT;100;24
2018.03.06_00:11:47;DML_INSERT;100;21
2018.03.06_00:11:47;DML_INSERT;100;25
2018.03.06_00:11:47;DML_INSERT;100;14
2018.03.06_00:11:48;DML_INSERT;100;33
2018.03.06_00:11:48;DML_INSERT;100;14
2018.03.06_00:11:48;DML_INSERT;100;14
2018.03.06_00:51:11;LOAD_DATA;100;5
2018.03.06_00:51:15;DML_INSERT;100;28
2018.03.06_00:52:02;DML_INSERT;100000;13776
2018.03.06_00:52:05;LOAD_DATA;100000;352
2018.03.08_00:40:58;DELETE;200300;2373
2018.03.15_22:00:25;DML_INSERT;0;13415
2018.03.15_22:02:23;DELETE;100000;1517
2018.03.15_22:02:35;LOAD_DATA;100000;1140
2018.03.15_22:02:40;LOAD_DATA;100000;814
2018.03.15_22:02:46;DELETE;200000;2796
2018.03.15_22:03:22;DML_INSERT;1;12882
2018.03.15_22:03:26;DELETE;100000;1431
2018.03.15_22:08:09;Egyedi: SELECT * FROM Tanulok;-1;1
2018.03.15_22:08:30;Egyedi: DELETE FROM TANULOK WHERE NK<>'0';0;17
2018.03.15_22:08:37;LOAD_DATA;100000;1183
2018.03.15_22:08:40;Egyedi: DELETE FROM TANULOK WHERE NK<>'0';100000;1344
2018.03.15_22:08:44;LOAD_DATA;100000;1193
2018.03.15_22:08:51;Egyedi: SELECT * FROM Tanulok;-1;101
2018.03.15_22:16:44;DELETE;100000;1334
2018.03.15_22:19:26;UPDATE;0;299
2018.03.15_22:20:31;LOAD_DATA;100000;1178
2018.03.15_22:20:33;SELECT *;-1;104
2018.03.15_22:21:21;UPDATE;100000;1235
2018.03.15_22:24:44;Egyedi: SELECT * FROM Tanulok;-100;9075
2018.03.15_22:30:28;Egyedi: SELECT * FROM Tanulok;-1;90
2018.03.15_22:30:28;Egyedi: SELECT * FROM Tanulok;-1;90
2018.03.15_22:30:28;Egyedi: SELECT * FROM Tanulok;-1;99
2018.03.15_22:30:29;Egyedi: SELECT * FROM Tanulok;-1;89
2018.03.15_22:30:29;Egyedi: SELECT * FROM Tanulok;-1;89
2018.03.15_22:30:29;Egyedi: SELECT * FROM Tanulok;-1;89
2018.03.15_22:30:29;Egyedi: SELECT * FROM Tanulok;-1;89
2018.03.15_22:30:29;Egyedi: SELECT * FROM Tanulok;-1;89
2018.03.15_22:30:29;Egyedi: SELECT * FROM Tanulok;-1;89
2018.03.15_22:30:29;Egyedi: SELECT * FROM Tanulok;-1;107
2018.03.15_22:30:29;Egyedi: SELECT * FROM Tanulok;-1;89
2018.03.15_22:30:29;Egyedi: SELECT * FROM Tanulok;-1;95
2018.03.15_22:30:29;Egyedi: SELECT * FROM Tanulok;-1;116
2018.03.15_22:30:30;Egyedi: SELECT * FROM Tanulok;-1;89
2018.03.15_22:30:30;Egyedi: SELECT * FROM Tanulok;-1;90
2018.03.15_22:30:30;Egyedi: SELECT * FROM Tanulok;-1;94
2018.03.15_22:30:30;Egyedi: SELECT * FROM Tanulok;-1;91
2018.03.15_22:30:30;Egyedi: SELECT * FROM Tanulok;-1;116
2018.03.15_22:30:30;Egyedi: SELECT * FROM Tanulok;-1;91
2018.03.15_22:30:30;Egyedi: SELECT * FROM Tanulok;-1;91
2018.03.15_22:30:30;Egyedi: SELECT * FROM Tanulok;-1;89
2018.03.15_22:30:30;Egyedi: SELECT * FROM Tanulok;-1;94
2018.03.15_22:30:30;Egyedi: SELECT * FROM Tanulok;-1;111
2018.03.15_22:30:30;Egyedi: SELECT * FROM Tanulok;-1;90
