Time;Command;AffectedRows;ElapsedTime
2018.04.09_23:47:14;DML_DELETE;20000;39
2018.04.09_23:48:33;DML_INSERT;10000;3534
2018.04.09_23:48:37;DML_INSERT;10000;3569
2018.04.09_23:48:40;DML_INSERT;10000;3608
2018.04.09_23:48:45;DML_INSERT;10000;4270
2018.04.09_23:48:49;DML_INSERT;10000;4345
2018.04.09_23:48:53;DML_INSERT;10000;3921
2018.04.09_23:48:57;DML_INSERT;10000;4430
2018.04.09_23:49:01;DML_INSERT;10000;3847
2018.04.09_23:49:05;DML_INSERT;10000;3775
2018.04.09_23:49:09;DML_INSERT;10000;3604
2018.04.09_23:49:13;DML_INSERT;10000;3610
2018.04.09_23:49:16;DML_INSERT;10000;3561
2018.04.09_23:49:20;DML_INSERT;10000;3801
2018.04.09_23:49:24;DML_INSERT;10000;4175
2018.04.09_23:49:28;DML_INSERT;10000;3916
2018.04.09_23:49:32;DML_INSERT;10000;3934
2018.04.09_23:49:36;DML_INSERT;10000;3668
2018.04.09_23:49:40;DML_INSERT;10000;3753
2018.04.09_23:49:44;DML_INSERT;10000;3825
2018.04.09_23:49:48;DML_INSERT;10000;4494
2018.04.09_23:49:52;DML_INSERT;10000;3674
2018.04.09_23:49:56;DML_INSERT;10000;3696
2018.04.09_23:50:00;DML_INSERT;10000;3704
2018.04.09_23:50:04;DML_INSERT;10000;3992
2018.04.09_23:50:08;DML_INSERT;10000;3645
2018.04.09_23:50:11;DML_INSERT;10000;3697
2018.04.09_23:50:15;DML_INSERT;10000;3925
2018.04.09_23:50:19;DML_INSERT;10000;3894
2018.04.09_23:50:24;DML_INSERT;10000;4419
2018.04.09_23:50:28;DML_INSERT;10000;4361
2018.04.09_23:50:32;DML_INSERT;10000;3698
2018.04.09_23:50:36;DML_INSERT;10000;3600
2018.04.09_23:50:39;DML_INSERT;10000;3697
2018.04.09_23:50:43;DML_INSERT;10000;3550
2018.04.09_23:50:47;DML_INSERT;10000;3919
2018.04.09_23:50:51;DML_INSERT;10000;3754
2018.04.09_23:50:54;DML_INSERT;10000;3557
2018.04.09_23:50:58;DML_INSERT;10000;3521
2018.04.09_23:51:02;DML_INSERT;10000;4201
2018.04.09_23:51:06;DML_INSERT;10000;3841
2018.04.09_23:51:10;DML_INSERT;10000;3532
2018.04.09_23:51:14;DML_INSERT;10000;3640
2018.04.09_23:51:17;DML_INSERT;10000;3660
2018.04.09_23:51:21;DML_INSERT;10000;3509
2018.04.09_23:51:25;DML_INSERT;10000;3572
2018.04.09_23:51:28;DML_INSERT;10000;3491
2018.04.09_23:51:32;DML_INSERT;10000;4213
2018.04.09_23:51:36;DML_INSERT;10000;3544
2018.04.09_23:51:40;DML_INSERT;10000;3680
2018.04.09_23:51:44;DML_INSERT;10000;3750
2018.04.09_23:51:47;DML_INSERT;10000;3748
2018.04.09_23:51:51;DML_INSERT;10000;3977
2018.04.09_23:51:56;DML_INSERT;10000;4117
2018.04.09_23:51:59;DML_INSERT;10000;3672
2018.04.09_23:52:03;DML_INSERT;10000;3905
2018.04.09_23:52:07;DML_INSERT;10000;3812
2018.04.09_23:52:11;DML_INSERT;10000;3696
2018.04.09_23:52:15;DML_INSERT;10000;3717
2018.04.09_23:52:19;DML_INSERT;10000;3648
2018.04.09_23:52:23;DML_INSERT;10000;3923
2018.04.09_23:52:26;DML_INSERT;10000;3822
2018.04.09_23:52:30;DML_INSERT;10000;3639
2018.04.09_23:52:34;DML_INSERT;10000;3689
2018.04.09_23:52:38;DML_INSERT;10000;3831
2018.04.09_23:52:42;DML_INSERT;10000;3666
2018.04.09_23:52:46;DML_INSERT;10000;3988
2018.04.09_23:52:49;DML_INSERT;10000;3637
2018.04.09_23:52:53;DML_INSERT;10000;3599
2018.04.09_23:52:57;DML_INSERT;10000;3583
2018.04.09_23:53:00;DML_INSERT;10000;3678
2018.04.09_23:53:04;DML_INSERT;10000;3875
2018.04.09_23:53:08;DML_INSERT;10000;3557
2018.04.09_23:53:12;DML_INSERT;10000;3672
2018.04.09_23:53:16;DML_INSERT;10000;4170
2018.04.09_23:53:20;DML_INSERT;10000;3715
2018.04.09_23:53:24;DML_INSERT;10000;3921
2018.04.09_23:53:28;DML_INSERT;10000;3758
2018.04.09_23:53:31;DML_INSERT;10000;3744
2018.04.09_23:53:36;DML_INSERT;10000;4226
2018.04.09_23:53:40;DML_INSERT;10000;4149
2018.04.09_23:53:44;DML_INSERT;10000;4312
2018.04.09_23:53:48;DML_INSERT;10000;4053
2018.04.09_23:53:52;DML_INSERT;10000;3686
2018.04.09_23:53:56;DML_INSERT;10000;3965
2018.04.09_23:54:00;DML_INSERT;10000;3577
2018.04.09_23:54:04;DML_INSERT;10000;3960
2018.04.09_23:54:08;DML_INSERT;10000;4165
2018.04.09_23:54:13;DML_INSERT;10000;4257
2018.04.09_23:54:16;DML_INSERT;10000;3528
2018.04.09_23:54:20;DML_INSERT;10000;3371
2018.04.09_23:54:24;DML_INSERT;10000;4649
2018.04.09_23:54:29;DML_INSERT;10000;4302
2018.04.09_23:54:33;DML_INSERT;10000;3889
2018.04.09_23:54:37;DML_INSERT;10000;3952
2018.04.09_23:54:40;DML_INSERT;10000;3448
2018.04.09_23:54:44;DML_INSERT;10000;3774
2018.04.09_23:54:48;DML_INSERT;10000;3464
2018.04.09_23:54:51;DML_INSERT;10000;3727
2018.04.09_23:54:55;DML_INSERT;10000;3985
2018.04.09_23:54:59;DML_INSERT;10000;3537
2018.04.10_00:15:12;DML_DELETE;1000000;3218
2018.04.10_00:15:44;DML_INSERT;20000;7394
2018.04.10_00:15:52;DML_INSERT;20000;7306
2018.04.10_00:15:59;DML_INSERT;20000;7254
2018.04.10_00:16:07;DML_INSERT;20000;7339
2018.04.10_00:16:14;DML_INSERT;20000;7207
