Time;Command;AffectedRows;ElapsedTime
2018.03.26_20:53:11;INSERT;100000;8846
2018.03.26_22:13:42;INSERT;100000;9969
2018.03.26_22:15:53;INSERT;100000;8373
2018.03.26_22:16:44;INSERT;100000;7573
2018.03.26_22:19:44;INSERT;100000;9733
2018.03.26_22:28:45;INSERT;100000;8136
2018.03.26_22:29:54;FLUSH;100001;1900
2018.03.26_22:43:28;INSERT;100000;8095
2018.03.26_22:54:44;SELECT *;100001;10279
2018.03.26_23:18:03;SELECT *;100001;8729
2018.03.26_23:40:48;Egyéni: SELECT nk FROM szakd WHERE name="Tihamér *";0;5923
2018.03.26_23:42:04;Egyéni: SELECT nk FROM szakd WHERE name LIKE "Tihamér *";0;5819
2018.03.26_23:43:11;Egyéni: SELECT nk FROM szakd WHERE name LIKE "Tihamér%";0;5844
2018.03.26_23:43:31;Egyéni: SELECT nk FROM szakd WHERE nev like "Tihamér%";59;6138
2018.04.01_15:18:02;INSERT;100000;25028
2018.04.01_18:09:45;INSERT;100000;16052
2018.04.01_22:01:16;INSERT;100000;18018
2018.04.01_22:04:09;SELECT *;400001;37352
2018.04.01_22:04:40;Egyéni: SELECT * FROM Tanulok;0;137
2018.04.01_22:05:40;Egyéni: SELECT * FROM szakd;400001;36754
2018.04.01_22:06:44;FLUSH;400001;2752
2018.04.01_22:08:03;INSERT;100000;24610
2018.04.01_22:09:58;UPDATE;100001;55924
2018.04.08_20:33:31;FLUSH;100001;775
2018.04.08_20:34:10;INSERT;100000;319
2018.04.08_20:42:16;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;2899
