Time;Command;AffectedRows;ElapsedTime;
2018.04.08_23:58:54;INSERT;10000;1619
2018.04.09_00:06:00;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4379
2018.04.09_00:06:05;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4414
2018.04.09_00:06:10;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5225
2018.04.09_00:06:15;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4431
2018.04.09_00:06:19;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4579
2018.04.09_00:06:24;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5019
2018.04.09_00:06:28;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4034
2018.04.09_00:06:33;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4639
2018.04.09_00:06:37;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4153
2018.04.09_00:06:42;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5205
2018.04.09_00:06:46;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4039
2018.04.09_00:06:50;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4229
2018.04.09_00:06:55;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4964
2018.04.09_00:07:00;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4534
2018.04.09_00:07:05;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4831
2018.04.09_00:07:08;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;3684
2018.04.09_00:07:13;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4850
2018.04.09_00:07:17;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4118
2018.04.09_00:07:21;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;3619
2018.04.09_00:07:25;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4236
2018.04.09_00:07:29;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;3889
2018.04.09_00:07:37;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8093
2018.04.09_00:07:43;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5876
2018.04.09_00:07:51;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8188
2018.04.09_00:07:56;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4591
2018.04.09_00:08:04;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;7653
2018.04.09_00:08:09;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5199
2018.04.09_00:08:14;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4978
2018.04.09_00:08:19;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4983
2018.04.09_00:08:23;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4228
2018.04.09_00:08:28;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4542
2018.04.09_00:08:32;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4377
2018.04.09_00:08:37;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4973
2018.04.09_00:08:44;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;7241
2018.04.09_00:08:52;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;7966
2018.04.09_00:08:58;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5873
2018.04.09_00:09:06;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;7746
2018.04.09_00:09:12;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;6533
2018.04.09_00:09:16;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;3519
2018.04.09_00:09:24;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8507
2018.04.09_00:09:30;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;6011
2018.04.09_00:09:38;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;7686
2018.04.09_00:09:45;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;6576
2018.04.09_00:09:50;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5733
2018.04.09_00:09:57;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;6626
2018.04.09_00:10:03;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;6516
2018.04.09_00:10:08;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4153
2018.04.09_00:10:13;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4975
2018.04.09_00:10:18;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5154
2018.04.09_00:10:23;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5141
2018.04.09_00:10:29;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5680
2018.04.09_00:10:35;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5968
2018.04.09_00:10:38;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;3806
2018.04.09_00:10:44;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5387
2018.04.09_00:10:50;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5820
2018.04.09_00:10:56;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;6798
2018.04.09_00:11:01;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4835
2018.04.09_00:11:07;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5823
2018.04.09_00:11:11;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4474
2018.04.09_00:11:17;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5252
2018.04.09_00:11:23;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5867
2018.04.09_00:11:27;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4853
2018.04.09_00:11:32;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4610
2018.04.09_00:11:37;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4686
2018.04.09_00:11:42;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5287
2018.04.09_00:11:47;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4922
2018.04.09_00:11:51;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4333
2018.04.09_00:11:57;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5644
2018.04.09_00:12:02;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5536
2018.04.09_00:12:06;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;3712
2018.04.09_00:12:10;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4181
2018.04.09_00:12:15;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4975
2018.04.09_00:12:21;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5316
2018.04.09_00:12:25;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4596
2018.04.09_00:12:31;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5391
2018.04.09_00:12:36;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5423
2018.04.09_00:12:41;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4923
2018.04.09_00:12:46;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5292
2018.04.09_00:12:53;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;7072
2018.04.09_00:13:01;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;7098
2018.04.09_00:13:06;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4912
2018.04.09_00:13:11;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5193
2018.04.09_00:13:15;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4489
2018.04.09_00:13:20;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4730
2018.04.09_00:13:24;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4426
2018.04.09_00:13:30;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5121
2018.04.09_00:13:34;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4095
2018.04.09_00:13:39;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5002
2018.04.09_00:13:44;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5795
2018.04.09_00:13:49;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4222
2018.04.09_00:13:56;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;6988
2018.04.09_00:14:01;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5734
2018.04.09_00:14:08;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;6847
2018.04.09_00:14:13;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4492
2018.04.09_00:14:18;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4854
2018.04.09_00:14:23;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5121
2018.04.09_00:14:28;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5198
2018.04.09_00:14:33;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5225
2018.04.09_00:14:41;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;5103
2018.04.09_00:14:46;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;4834
2018.04.09_00:16:49;INSERT;10000;3059
2018.04.09_00:17:44;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8779
2018.04.09_00:17:54;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9506
2018.04.09_00:18:03;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8965
2018.04.09_00:18:12;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9438
2018.04.09_00:18:22;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9528
2018.04.09_00:18:32;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;10669
2018.04.09_00:18:42;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9763
2018.04.09_00:18:52;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9918
2018.04.09_00:19:01;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9233
2018.04.09_00:19:11;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9430
2018.04.09_00:19:19;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8457
2018.04.09_00:19:30;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;10327
2018.04.09_00:19:39;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8977
2018.04.09_00:19:47;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8426
2018.04.09_00:19:56;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9488
2018.04.09_00:20:07;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;10670
2018.04.09_00:20:16;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8824
2018.04.09_00:20:25;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8791
2018.04.09_00:20:37;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12553
2018.04.09_00:20:46;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8966
