Time;Command;AffectedRows;ElapsedTime
2018.04.02_10:35:32;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;939
2018.04.02_10:35:32;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;529
2018.04.02_10:35:33;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;465
2018.04.02_10:35:33;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;508
2018.04.02_10:35:34;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;481
2018.04.02_10:35:34;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;504
2018.04.02_10:35:35;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;455
2018.04.02_10:35:35;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;483
2018.04.02_10:35:36;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;522
2018.04.02_10:35:36;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;564
2018.04.02_10:35:37;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;467
2018.04.02_10:35:37;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;405
2018.04.02_10:35:38;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;473
2018.04.02_10:35:38;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;542
2018.04.02_10:35:39;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;457
2018.04.02_10:35:39;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;408
2018.04.02_10:35:39;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;550
2018.04.02_10:35:40;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;435
2018.04.02_10:35:40;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;455
2018.04.02_10:35:41;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;494
2018.04.02_10:35:41;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;558
2018.04.02_10:35:42;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;415
2018.04.02_10:35:42;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;526
2018.04.02_10:35:43;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;439
2018.04.02_10:35:43;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;461
2018.04.02_10:35:44;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;504
2018.04.02_10:35:44;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;429
2018.04.02_10:35:45;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;423
2018.04.02_10:35:45;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;523
2018.04.02_10:35:46;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;405
2018.04.02_10:35:46;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;416
2018.04.02_10:35:46;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;481
2018.04.02_10:35:47;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;467
2018.04.02_10:35:47;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;439
2018.04.02_10:35:48;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;491
2018.04.02_10:35:48;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;525
2018.04.02_10:35:49;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;403
2018.04.02_10:35:49;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;486
2018.04.02_10:35:50;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;463
2018.04.02_10:35:50;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;456
2018.04.02_10:35:51;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;423
2018.04.02_10:35:51;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;551
2018.04.02_10:35:52;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;465
2018.04.02_10:35:52;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;417
2018.04.02_10:35:53;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;524
2018.04.02_10:35:53;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;442
2018.04.02_10:35:53;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;455
2018.04.02_10:35:54;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;490
2018.04.02_10:35:54;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;416
2018.04.02_10:35:55;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;414
2018.04.02_10:35:55;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;496
2018.04.02_10:35:56;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;425
2018.04.02_10:35:56;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;477
2018.04.02_10:35:57;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;479
2018.04.02_10:35:57;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;444
2018.04.02_10:35:58;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;437
2018.04.02_10:35:58;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;443
2018.04.02_10:35:59;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;511
2018.04.02_10:35:59;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;412
2018.04.02_10:35:59;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;474
2018.04.02_10:36:00;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;458
2018.04.02_10:36:00;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;453
2018.04.02_10:36:01;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;416
2018.04.02_10:36:01;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;557
2018.04.02_10:36:02;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;496
2018.04.02_10:36:02;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;433
2018.04.02_10:36:03;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;585
2018.04.02_10:36:03;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;470
2018.04.02_10:36:04;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;432
2018.04.02_10:36:04;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;525
2018.04.02_10:36:05;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;403
2018.04.02_10:36:05;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;479
2018.04.02_10:36:06;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;519
2018.04.02_10:36:06;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;468
2018.04.02_10:36:07;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;406
2018.04.02_10:36:07;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;491
2018.04.02_10:36:08;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;495
2018.04.02_10:36:08;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;462
2018.04.02_10:36:09;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;670
2018.04.02_10:36:09;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;425
2018.04.02_10:36:09;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;426
2018.04.02_10:36:10;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;495
2018.04.02_10:36:10;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;453
2018.04.02_10:36:11;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;456
2018.04.02_10:36:12;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;630
2018.04.02_10:36:12;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;501
2018.04.02_10:36:12;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;449
2018.04.02_10:36:13;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;509
2018.04.02_10:36:13;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;483
2018.04.02_10:36:14;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;431
2018.04.02_10:36:14;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;481
2018.04.02_10:36:15;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;441
2018.04.02_10:36:15;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;426
2018.04.02_10:36:16;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;438
2018.04.02_10:36:16;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;528
2018.04.02_10:36:17;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;414
2018.04.02_10:36:17;Egyedi: UPDATE Tanulok SET email="updatelt@gmail.com" WHERE 1;100000;443
