Time;Command;AffectedRows;ElapsedTime
2018.04.08_21:40:20;DML_INSERT;10000;1264
2018.04.08_21:40:30;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;83
2018.04.08_21:40:30;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;50
2018.04.08_21:40:30;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;37
2018.04.08_21:40:30;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;46
2018.04.08_21:40:30;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;62
2018.04.08_21:40:30;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;41
2018.04.08_21:40:30;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;47
2018.04.08_21:40:30;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;64
2018.04.08_21:40:30;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;51
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;57
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;50
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;39
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;37
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;40
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;38
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;43
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;43
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;46
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;45
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;47
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;37
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;37
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;38
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;50
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;46
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;43
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;44
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;41
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;39
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;41
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;49
2018.04.08_21:40:31;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;48
2018.04.08_21:40:32;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;39
2018.04.08_21:40:32;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;40
2018.04.08_21:40:32;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;56
2018.04.08_21:40:32;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;55
2018.04.08_21:40:32;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;61
2018.04.08_21:40:32;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;64
2018.04.08_21:40:32;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;66
2018.04.08_21:40:32;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;49
2018.04.08_21:40:32;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;53
2018.04.08_21:40:32;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;48
2018.04.08_21:40:32;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;41
2018.04.08_21:40:32;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;50
2018.04.08_21:40:32;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;40
2018.04.08_21:40:32;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;36
2018.04.08_21:40:32;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;37
2018.04.08_21:40:32;Egyedi: UPDATE Tanulok SET Email='updatelt@gmail.com' WHERE 1;10000;37
